compound_name_or_id,canonical_smiles,true_pIC50,known_positive,predicted_pIC50,rank,percentile_rank,max_train_tanimoto,exact_training_match,murcko_scaffold,same_scaffold_present_in_training,same_scaffold_train_count
afatinib (CHEMBL1173655),CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,8.979303359985352,True,8.292388264179229,1,0.21052631578947367,1.0,False,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,True,28
CHEMBL5972723,COCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C(C)C)NN3)c3cccnc3)cc12)c1ccccc1,5.06991720199585,False,8.098022934081062,2,0.42105263157894735,0.6976744186046512,False,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1,False,0
erlotinib (CHEMBL553),C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.522878646850586,True,7.975819192462497,3,0.631578947368421,0.9038461538461539,False,c1ccc(Nc2ncnc3ccccc23)cc1,True,559
CHEMBL5868329,COCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CNNN3)c3cccnc3)cc12)c1ccccc1,5.159705638885498,False,7.909141760470375,4,0.8421052631578947,0.7307692307692307,False,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1,False,0
CHEMBL5760794,Cc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NC(CO)c3ccccc3)c2c1)C1=CNNN1,5.3517374992370605,False,7.870424194071029,5,1.0526315789473684,0.725,False,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1,False,0
CHEMBL1097368,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,4.251037120819092,False,7.868916633923848,6,1.263157894736842,0.543859649122807,False,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,False,0
gefitinib (CHEMBL939),COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.638272285461426,True,7.776028779612646,7,1.4736842105263157,0.9193548387096774,False,c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,True,17
CHEMBL3233768,C/C=C(\C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,5.19287109375,False,7.740328819115957,8,1.6842105263157894,0.5972222222222222,False,c1ccc(Nc2ncnc3sccc23)cc1,False,0
CHEMBL3233762,CN(C)CCN(C)CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,5.367948055267334,False,7.725638488769531,9,1.894736842105263,0.5844155844155844,False,c1ccc(Nc2ncnc3sccc23)cc1,False,0
CHEMBL3233763,CN(C)CCCN(C)CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,5.525984764099121,False,7.697424200905694,10,2.1052631578947367,0.569620253164557,False,c1ccc(Nc2ncnc3sccc23)cc1,False,0
