compound_name_or_id,canonical_smiles,experimental_pIC50,predicted_pIC50,rank,percentile,known_positive,max_train_tanimoto,exact_training_match,same_scaffold_present_in_training,murcko_scaffold
CHEMBL3092297,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)CC1,5.947248935699463,8.173569518195258,1,0.21052631578947367,False,0.5822784810126582,False,False,O=C(Nc1cc2c(Nc3ccccc3)ncnc2cc1OC1CCOC1)N1CCCCC1
CHEMBL5972723,COCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C(C)C)NN3)c3cccnc3)cc12)c1ccccc1,5.06991720199585,8.109352978335485,2,0.42105263157894735,False,0.6976744186046512,False,False,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1
afatinib (CHEMBL1173655),CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,8.979303359985352,8.08712223686112,3,0.631578947368421,True,0.5978260869565217,False,False,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1
CHEMBL3092298,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)(F)CC1,5.67041540145874,8.023449449539184,4,0.8421052631578947,False,0.5542168674698795,False,False,O=C(Nc1cc2c(Nc3ccccc3)ncnc2cc1OC1CCOC1)N1CCCCC1
CHEMBL3092299,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCCC(F)(F)C1,5.888428211212158,8.009086828761632,5,1.0526315789473684,False,0.5287356321839081,False,False,O=C(Nc1cc2c(Nc3ccccc3)ncnc2cc1OC1CCOC1)N1CCCCC1
CHEMBL5868329,COCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CNNN3)c3cccnc3)cc12)c1ccccc1,5.159705638885498,7.913430289824803,6,1.263157894736842,False,0.7307692307692307,False,False,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1
CHEMBL1097368,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,4.251037120819092,7.80001316801707,7,1.4736842105263157,False,0.543859649122807,False,False,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1
CHEMBL182397,COc1cc2ncnc(Nc3cccc(NC(=O)c4ccccc4)c3F)c2cc1OC,5.552842140197754,7.792323558621937,8,1.6842105263157894,False,0.5492957746478874,False,False,O=C(Nc1cccc(Nc2ncnc3ccccc23)c1)c1ccccc1
CHEMBL5760794,Cc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NC(CO)c3ccccc3)c2c1)C1=CNNN1,5.3517374992370605,7.772509991645813,9,1.894736842105263,False,0.725,False,False,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1
erlotinib (CHEMBL553),C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.522878646850586,7.733960286140443,10,2.1052631578947367,True,0.5972222222222222,False,False,c1ccc(Nc2ncnc3ccccc23)cc1
